Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Luke Gallet,Curveball,50,39,11,21.6,70.68,0,0,0,0,0,4,4,0.0,0.042,0.0,0.125,0.013,0.072,83.02,19.71,2107.0,16.0,22.22
Luke Gallet,Changeup,11,3,8,4.8,74.43,1,1,0,0,0,0,3,0.333,,0.333,,0.016,,,,1654.0,0.0,0.0
Luke Gallet,Slider,18,13,5,7.8,72.13,1,1,0,0,0,0,4,0.25,0.0,0.25,0.688,0.016,0.668,67.94,37.84,1942.0,5.56,0.0
Braden Alexander,Fastball,103,61,42,62.0,82.29,11,5,3,1,2,4,39,0.25,0.371,0.5,0.571,0.28,0.397,82.46,10.48,1919.0,7.77,17.39
Braden Alexander,Curveball,20,14,6,12.0,69.96,0,0,0,0,0,0,2,0.0,0.333,0.0,0.375,0.0,0.278,81.04,-18.59,2083.0,10.0,0.0
Braden Alexander,Changeup,9,2,7,5.4,76.37,0,0,0,0,0,1,0,0.0,,0.0,,0.0,,,,1797.0,22.22,50.0
Braden Alexander,Slider,34,25,9,20.5,68.31,2,2,0,0,0,1,5,0.333,0.283,0.333,0.3,0.032,0.299,79.1,10.76,2036.0,11.76,16.67
Marshall Ingold,Slider,17,12,5,9.2,66.74,3,3,0,0,0,1,6,0.429,0.357,0.429,0.491,0.05,0.606,77.29,13.91,1947.0,5.88,25.0
Marshall Ingold,Fastball,85,55,30,45.9,79.12,10,8,2,0,0,5,17,0.435,0.401,0.522,0.461,0.195,0.369,83.05,9.93,1571.0,9.41,23.81
Marshall Ingold,Changeup,18,13,5,9.7,71.18,1,1,0,0,0,1,3,0.25,0.333,0.25,0.5,0.017,,78.97,-6.69,1654.0,5.56,9.09
Marshall Ingold,Curveball,63,32,29,34.1,66.84,4,2,2,0,0,1,13,0.308,0.273,0.462,0.375,0.108,0.368,80.18,21.23,1969.0,4.76,7.14
Marshall Ingold,Sinker,2,2,0,1.1,71.35,0,0,0,0,0,0,2,0.0,0.208,0.0,0.562,0.0,0.394,84.14,34.21,1638.0,0.0,0.0
Cameron Clifton,Fastball,91,52,34,45.5,78.22,6,3,3,0,0,0,23,0.273,0.267,0.409,0.681,0.162,0.491,79.91,19.78,1869.0,5.49,0.0
Cameron Clifton,Changeup,15,6,7,7.5,72.17,3,2,0,1,0,2,8,0.333,0.556,0.556,0.604,0.059,0.636,84.28,12.0,1559.0,6.67,50.0
Cameron Clifton,Slider,22,19,3,11.0,70.46,2,0,2,0,0,0,6,0.333,0.292,0.667,0.469,0.045,0.337,70.7,12.66,2015.0,4.55,0.0
Cameron Clifton,Curveball,47,31,12,23.5,65.74,3,2,1,0,0,1,6,0.429,0.208,0.571,0.375,0.066,0.565,72.86,32.33,1862.0,2.13,9.09
Cameron Clifton,Cutter,25,19,4,12.5,72.27,2,2,0,0,0,2,5,0.286,0.15,0.286,0.2,0.031,0.079,86.14,22.05,1987.0,24.0,28.57
