,y_test,y_pred
10238,-0.33,-0.48254034
5909,0.0,-0.040161237
9568,-0.33,0.11451824
7426,0.46,-0.33793834
10444,-0.33,0.011296284
1004,0.79,-0.45522556
64,-0.33,0.33758765
13216,0.31,0.17515327
1797,-0.33,0.26998094
11313,0.31,-0.21083437
6032,0.31,-0.26765344
12001,0.46,-0.6981063
11514,-0.33,-0.0970817
12593,-0.33,0.5208799
5937,-0.33,-0.2648583
7494,0.0,-0.09124028
2146,-0.33,-0.010104981
2673,0.46,-0.11651131
2494,-0.33,-0.5466669
7223,0.31,0.7882549
3120,-0.33,-0.51017815
10967,-0.33,0.07531027
12021,-0.33,0.27441972
2181,1.41,0.2638512
7440,0.31,0.5207676
2404,0.79,-0.092009395
12437,0.31,0.5384788
12453,0.46,-0.0077008703
12931,-0.33,0.0027559993
5213,-0.33,-0.7526219
6744,0.0,-0.097208
13389,-0.33,0.020009698
10243,-0.33,-0.26740518
1030,0.46,0.35507473
13233,0.31,0.2022259
1542,0.79,0.45885688
7371,-0.33,-0.082320556
8331,-0.33,-0.5397283
7553,0.46,-0.5564129
1169,-0.33,0.619426
12614,-0.33,0.5208459
7573,-0.33,-0.30779168
10955,-0.33,0.27767715
9882,-0.33,0.6624715
4249,-0.33,0.039310962
11020,-0.33,-0.8521167
4236,0.31,0.36944643
7001,-0.33,-0.40421438
3325,-0.33,-0.27433237
12406,-0.33,-0.2963112
10653,1.41,0.007009678
1959,-0.33,0.32074264
1982,0.46,0.3630716
10210,-0.33,-0.017939491
10917,-0.33,0.5717391
1623,0.0,-0.1696073
3631,-0.33,-0.4742241
8948,-0.33,0.14957489
2876,-0.33,-0.140903
6043,-0.33,0.26502946
10390,0.46,0.29981747
6592,-0.33,0.029914992
13736,-0.33,0.17469852
3884,-0.33,-0.024111465
6357,-0.33,-0.25187576
11679,0.0,-0.003423657
4435,-0.33,-0.33785644
6710,0.46,0.18611804
10832,0.31,0.14084134
12495,-0.33,0.08085764
7418,-0.33,0.26028004
11204,-0.33,0.3773788
2283,-0.33,0.10550451
6859,-0.33,0.5916044
8457,-0.33,-0.081211336
7421,-0.33,-0.078712896
8243,-0.33,-0.10398609
3176,-0.33,0.07053848
13491,-0.33,0.72861105
9498,-0.33,-0.71114135
6761,-0.33,0.72896403
10364,-0.33,-0.08526402
13170,0.46,-0.012830568
7910,-0.33,0.10964943
8501,0.31,-0.3523864
11067,-0.33,0.19096087
7850,0.46,0.021026041
5988,-0.33,-0.014758541
1855,-0.33,-0.09994514
3549,-0.33,0.030757321
1100,-0.33,0.3150427
11705,0.31,0.281068
578,-0.33,0.24961376
13502,-0.33,0.6123981
806,0.46,-0.36924946
1298,-0.33,-0.16502829
1136,0.46,-0.055761196
9108,0.46,-0.28759488
8122,1.07,-0.63101697
5969,-0.33,-0.22471014
12647,0.46,0.14352624
3524,0.31,0.7091599
7879,-0.33,0.32012284
11190,0.46,-0.25710216
10698,0.0,0.26240936
13022,0.31,-0.32231614
4565,-0.33,-0.552833
5304,-0.33,0.13450138
6548,-0.33,-0.26792005
3562,-0.33,-0.2769123
10984,-0.33,-0.1484137
1977,-0.33,0.17307879
7214,0.0,0.20815763
6801,-0.33,-0.109579034
784,-0.33,0.5641116
8884,0.31,0.058622766
9518,-0.33,0.4578317
2805,-0.33,-0.2615968
12707,-0.33,0.27778527
3646,-0.33,-0.8021843
1101,-0.33,-0.7102507
4740,0.46,-0.16238292
4935,-0.33,-0.1281857
9109,0.46,-0.0053437063
536,-0.33,-0.55072063
1391,0.0,0.20457317
3532,-0.33,-0.0946895
4608,-0.33,-0.111706525
11032,0.46,-0.13260841
8150,-0.33,-0.16457956
1178,0.31,-0.20898402
11616,0.46,0.12227014
7714,-0.33,0.1192368
934,-0.33,-0.72158945
8290,0.31,-0.19984016
4347,-0.33,0.066245124
8128,0.46,-0.3367441
872,-0.33,-0.49062738
12277,-0.33,0.32501498
11474,-0.33,-0.6230091
13667,-0.33,-0.37744233
1487,-0.33,0.26656923
4723,0.46,-0.10025368
11180,-0.33,0.16929409
3151,-0.33,-0.015896564
4780,0.31,0.08956104
2744,0.31,0.8627407
2031,-0.33,-0.3548728
9836,-0.33,-0.15190004
9604,0.46,0.060347702
6301,-0.33,0.00081757957
13438,0.46,0.0027008557
2307,0.0,0.14575845
6261,-0.33,0.55705476
3274,-0.33,0.35193816
12377,0.0,0.87376285
3121,-0.33,0.3289014
11049,-0.33,-0.5609893
12564,-0.33,-0.1855931
9264,-0.33,-0.47548243
10756,0.46,0.08843985
9704,-0.33,0.69434965
4504,-0.33,-0.074098326
9722,-0.33,-0.5336988
4412,0.46,0.004358557
1123,-0.33,-0.16886376
8783,-0.33,0.5408354
11895,0.0,0.27053127
12419,0.31,-0.6735668
2604,-0.33,-0.099960275
1505,-0.33,-0.18519552
1251,-0.33,-0.050522268
8328,-0.33,0.56608975
11652,-0.33,-0.14789303
2725,-0.33,-0.07477983
5589,-0.33,0.54197973
5369,-0.33,-0.46251914
13176,-0.33,-0.07593557
11783,-0.33,-0.21876736
13559,-0.33,0.097614184
8025,-0.33,0.17991762
3935,0.31,0.13586994
5696,0.31,0.3964605
1912,0.79,-0.0687937
2570,-0.33,0.34569225
5613,-0.33,0.3698072
12981,-0.33,0.18892103
4776,-0.33,-0.339002
5585,-0.33,0.18141742
7335,0.31,0.20159821
11610,0.31,-0.59581506
2298,-0.33,0.2840648
8282,-0.33,0.6771193
10573,0.0,0.68199706
8576,-0.33,-0.29885417
1190,-0.33,-0.110941395
5776,-0.33,0.10665985
10803,-0.33,-0.028896037
8485,-0.33,0.2052103
1520,-0.33,-0.58898824
7411,0.31,0.32573095
990,0.46,0.042002432
2556,0.46,-0.30025744
12167,-0.33,0.7385829
10260,-0.33,0.36836225
9977,-0.33,-0.41708538
5189,-0.33,0.49115548
12341,-0.33,-0.15115756
9873,-0.33,0.24361521
8428,0.46,0.26838934
287,-0.33,-0.026443714
12950,0.31,-0.37624875
3390,-0.33,-0.7125111
10065,-0.33,-0.5737015
2351,-0.33,0.862078
13482,-0.33,-0.14737096
1062,0.46,0.1642768
12204,0.46,0.35618237
8270,-0.33,0.76028985
