Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,Out,82.04297309,1879.33271,5.44749125,1.905651789,6.000000192,17.81870288,12.12930849,1.625156213,-1.655259174,12.12930849,1.905651789,5.68939439,0.006802736,0.05,0.02294768,0.026583472018440565,30.31468027864676
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,HomeRun,83.84384678,2046.960837,5.424922122,2.825270755,6.000000192,18.83340292,12.14254035,3.286742846,-0.150774498,12.14254035,2.825270755,6.69086257,0.01394536,0.01,0.03082646,0.018257273435592653,20.819831456774818
Braden Alexander,Kcl bobcats 2025,Fastball,StrikeSwinging,StrikeoutSwinging,82.52151552,1934.915542,5.470826997,3.21144619,6.000000192,18.85348028,11.3562003,3.812219781,-0.485114847,11.3562003,3.21144619,7.49727998,0.893786,0.6,0.026654676,0.5068135629097621,577.9490019149326
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,Out,83.19165999,2031.81746,5.489266921,2.290401401,6.000000192,18.54598624,13.02625261,1.852189687,0.10405504,13.02625261,2.290401401,5.519733630000001,0.0014921053,0.02,0.030728597,0.017406900833981734,19.850102088177906
Cooper Stolfa,Kcl groundsloths 2025,Fastball,InPlay,Single,80.12443899,2130.392798,5.775396469,3.084322556,6.000000192,18.058378,8.587629457,2.005966081,-0.245886987,8.587629457,3.084322556,9.470748543000001,0.0013895035,0.02,0.05706628,0.026151927957932156,29.822565470942692
Cooper Stolfa,Kcl groundsloths 2025,Fastball,StrikeSwinging,StrikeoutSwinging,80.54107169,2127.202965,5.707498215,3.728978371,6.000000192,16.34692945,8.52046194,2.369234414,-1.596218311,8.52046194,3.728978371,7.8264675100000005,0.88970363,0.65,0.054820195,0.5315079420804977,606.1094396757048
Cooper Stolfa,Kcl groundsloths 2025,Fastball,InPlay,Out,79.92108052,2121.925896,5.569245928,2.971309467,6.000000192,16.05281251,10.58183968,3.282848214,-1.040096945,10.58183968,2.971309467,5.470972829999999,0.006480725,0.02,0.056269366,0.027583363770196836,31.454915036044923
Cooper Stolfa,Kcl groundsloths 2025,Fastball,InPlay,Single,80.42372662,2193.59878,5.743970834,2.349361033,6.000000192,17.58041856,10.35159245,1.463639107,-0.996118892,10.35159245,2.349361033,7.228826109999998,0.005410753,0.02,0.06348214,0.029630965391794842,33.7899143338689
Cooper Stolfa,Kcl groundsloths 2025,Fastball,BallCalled,Walk,78.89500997,2132.023872,5.639688328,2.617097494,6.000000192,16.93711161,7.440315176,2.4379054,-2.956748765,7.440315176,2.617097494,9.496796433999998,0.001955249,0.02,0.06481725,0.028924166296298306,32.983910190153175
Cooper Stolfa,Kcl groundsloths 2025,Fastball,BallCalled,Walk,78.91097887,2056.278443,5.757893826,4.878532212,6.000000192,17.49407618,8.052945017,4.696602685,-0.692183834,8.052945017,4.878532212,9.441131163,0.07639183,0.18,0.055761863,0.1040512311955293,118.65567462760127
Cooper Stolfa,Kcl groundsloths 2025,Fastball,BallCalled,Walk,79.51885121,2037.155817,5.854143607,3.262939367,6.000000192,16.90260374,10.0233783,4.23140226,1.09607553,10.0233783,3.262939367,6.879225440000001,0.051112678,0.08,0.047029544,0.059380740523338325,67.71531432860148
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Single,81.69327646,2050.168449,5.358904675,1.591947854,6.000000192,16.74818241,5.641641317,2.905064078,-0.974007369,5.641641317,1.591947854,11.106541092999997,0.0015709776,0.0,0.03897351,0.013514829295066496,15.411746397017986
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Out,84.14472477,2206.55993,5.085563837,1.75991566,6.000000192,17.3771096,8.661416181,2.150708763,-1.222730673,8.661416181,1.75991566,8.715693419,0.011722168,0.02,0.04587954,0.02586723568538825,29.49791430370678
Braden Alexander,Kcl bobcats 2025,Fastball,StrikeSwinging,StrikeoutSwinging,84.41832529,2123.402745,5.937373944,0.646761081,6.000000192,19.18656583,11.93467866,2.340536778,-0.399206826,11.93467866,0.646761081,7.25188717,0.9845382,0.79,0.032953344,0.602497180600961,687.0625998753815
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,Out,83.44296152,2050.223046,5.487325999,2.591370498,6.000000192,20.29624712,11.14980522,2.461121113,-1.143810692,11.14980522,2.591370498,9.146441900000001,0.0037784078,0.01,0.032641385,0.01547326418881615,17.6450636856469
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Out,81.9513738,2000.928562,5.304573331,2.098540406,6.000000192,17.18709992,6.3378825,1.876193164,0.007718798,6.3378825,2.098540406,10.849217420000002,0.008327603,0.02,0.0337388,0.020688800911108654,23.592643749987698
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Single,82.01065032,2052.040564,5.27845119,1.828674465,6.000000192,16.44271131,5.333448193,1.939194574,-1.052119777,5.333448193,1.828674465,11.109263117000001,0.0017678889,0.0,0.038263403,0.013343763925756017,15.21667060053066
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Error,81.68733826,1991.488272,5.798316265,2.07220428,6.000000192,17.44200951,4.865289641,2.218719808,-0.653502993,4.865289641,2.07220428,12.576719868999998,0.0016232692,0.0,0.03318461,0.011602626492579779,13.231150252725557
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Sacrifice,80.26664411,2083.874962,5.536697059,2.283694752,6.000000192,17.80738124,5.606715556,3.221246404,-0.957929258,5.606715556,2.283694752,12.200665684,0.0010944293,0.0,0.050112475,0.017068967999269564,19.46473760934497
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,Out,81.0271835,1910.711453,5.445037983,0.077724124,6.000000192,19.10682379,11.5358155,2.803388226,0.385806949,11.5358155,0.077724124,7.57100829,0.6352016,0.27,0.027149582,0.31078371855119863,354.4047616185388
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,Out,80.42591905,1878.946466,5.849119023,1.472194085,6.000000192,19.84472815,9.696775715,2.363331235,-1.059612995,9.696775715,1.472194085,10.147952435000002,6.0580827e-05,0.0,0.027258204,0.00910626170783265,10.384400202318808
Braden Alexander,Kcl bobcats 2025,Fastball,InPlay,Double,81.35753859,1874.978273,5.655868419,1.212175012,6.000000192,18.83844357,10.96627467,3.635938286,-1.528636617,10.96627467,1.212175012,7.872168899999998,0.024870172,0.05,0.024236828,0.03303566674391429,37.67249343648501
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Single,83.12370199,2038.903335,5.71828348,2.102647464,6.000000192,19.55342265,4.558745919,2.792118947,-1.516516524,4.558745919,2.102647464,14.994676731000002,0.021849882,0.01,0.03288655,0.021578810562690103,24.607573553509436
Nolan Bowles,Kcl groundsloths 2025,Fastball,InPlay,Out,81.42529646,2061.461277,5.196077982,2.180458484,6.000000192,18.00552945,6.523587109,3.138909072,-0.978193971,6.523587109,2.180458484,11.481942341,0.0034139855,0.01,0.04236126,0.018591748314599196,21.20125262746647
Nolan Bowles,Kcl groundsloths 2025,Fastball,BallCalled,Walk,82.56149567,2075.445217,5.661037588,1.071905452,6.000000192,18.74018719,6.504216954,0.421752536,-1.024183786,6.504216954,1.071905452,12.235970236,0.0015405994,0.05,0.037126053,0.029555550838510195,33.70391472969398
