Pitcher,PitcherTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,SpinRate,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ABS_Horizontal,ABS_RelSide,differential_break,xWhiff_xg,xWhiff_rf,xWhiff_nn,xWhiff,stuff+
Anthony Pesci,Danville dans 2025,Fastball,InPlay,Out,90.0951895201726,2138.419359616318,5.023233071169772,2.8033857275535063,6.000000192000004,14.448605539824335,14.206029226428196,2.573019278085979,-0.6881331430294897,14.206029226428196,2.8033857275535063,0.24257631339613894,0.0068255547,0.1,0.9926269,0.3664841533638537,93.94539009884697
Anthony Pesci,Danville dans 2025,Fastball,InPlay,Single,88.69193989495884,2012.4654943591524,5.279252808384294,3.051969503790889,6.000000192000004,13.060269425584128,14.91044293444262,2.7977277378186254,0.1363112714475016,14.91044293444262,3.051969503790889,1.850173508858493,0.0012951215,0.01,0.979426,0.3302403826157873,84.65457861265487
Anthony Pesci,Danville dans 2025,Fastball,InPlay,Out,88.87170747164907,2069.260217219748,5.1834419038828345,2.6015155515546824,6.000000192000004,14.002812576459416,14.42468835904793,2.266802166117917,-0.5490383014470674,14.42468835904793,2.6015155515546824,0.4218757825885149,0.044595197,0.12,0.98749125,0.3840288156270981,98.44282914319388
Anthony Pesci,Danville dans 2025,Fastball,InPlay,Out,91.99743929207054,2150.6125365832104,5.041666064856127,2.78460060632293,6.000000192000004,13.31598601162036,14.954695601950888,2.6323924661801987,0.6122084516227949,14.954695601950888,2.78460060632293,1.638709590330528,0.0051141633,0.06,0.9908023,0.3519721504425009,90.22534991962388
Roy Rolston,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,86.577867267964,2090.80672696388,5.23848163580308,2.21200558288116,6.000000192,17.0964344251033,15.0316490917729,3.6305184000704,-0.129349026440144,15.0316490917729,2.21200558288116,2.0647853333304003,0.0054499777,0.03,0.99341255,0.34295417732248706,87.91366196563068
Roy Rolston,Kcl merchants 2025,Fastball,StrikeCalled,StrikeoutLooking,87.5303920825195,1987.2982341306,5.56659183098092,2.25796323032344,6.000000192,18.5435342070267,12.8244077763847,1.82777882430153,-1.16921043925117,12.8244077763847,2.25796323032344,5.7191264306419995,0.0028641624,0.04,0.9773017,0.3400552930807074,87.17055531710116
Devan Tupper,Kcl groundsloths 2025,Fastball,InPlay,Out,85.0230463891795,1722.17211452798,5.83709254484968,2.93578234364541,6.000000192,14.2982276011005,13.3497950462652,2.35107038661637,-1.91772455142592,13.3497950462652,2.93578234364541,0.9484325548352999,0.00028745257,0.06,0.8041334,0.2881402892631013,73.86254393144661
Roy Rolston,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,87.0334800159224,2170.01504092865,5.66035876036496,2.35770430786204,6.000000192,20.0743333360401,12.1294781446268,2.61919946482808,-0.811372159189782,12.1294781446268,2.35770430786204,7.944855191413302,0.055571407,0.07,0.99725276,0.3742747231324514,95.94244265701464
Roy Rolston,Kcl merchants 2025,Fastball,InPlay,Out,82.7780944653261,1901.31714169679,5.66032810669429,2.42079495881075,6.000000192,18.4460992105343,13.4397409579063,1.55156698221856,-1.50253114197929,13.4397409579063,2.42079495881075,5.006358252627999,0.0019203932,0.01,0.9773426,0.3297543329310914,84.52998351947811
Roy Rolston,Kcl merchants 2025,Fastball,StrikeSwinging,StrikeoutSwinging,86.6685357027712,2119.35752249328,5.70550945569834,1.92597192017613,6.000000192,19.8995804209857,12.163700446817,3.11145543404692,-1.04832497357634,12.163700446817,1.92597192017613,7.7358799741687,0.9417887,0.62,0.9952985,0.8523623927434286,218.49653458922472
