"","Player","OAA","playerPosition","innings","inRightOAA","inLeftOAA","backRightOAA","backLeftOAA","inTotal","backTotal","leftTotal","rightTotal"
"136","Grayson Schnierle",1.12,"RF",53,-0.73,1.4,0.39,0.06,0.67,0.45,1.46,-0.34
"137","Jackson Natanek",0.56,"2B",18,-0.13,0.66,0.08,-0.05,0.53,0.03,0.61,-0.05
"138","Jackson Natanek",-0.05,"SS",22,0,0,0.07,-0.12,0,-0.05,-0.12,0.07
"139","Jackson Newton",0.29,"CF",48,0.71,-0.48,0.2,-0.14,0.23,0.06,-0.62,0.91
"140","Jackson Newton",-0.21,"LF",10,-0.51,0,-0.02,0.32,-0.51,0.3,0.32,-0.53
"141","Jacob Blunck",0.43,"LF",35,0.73,-0.29,-0.2,0.19,0.44,-0.01,-0.1,0.53
"142","Jacob Blunck",-0.63,"RF",18,-0.17,-0.64,-0.09,0.27,-0.81,0.18,-0.37,-0.26
"143","Jacob Trusner",0.99,"1B",26,0.4,-0.03,0.63,-0.02,0.37,0.61,-0.05,1.03
"144","Jacob Trusner",0.95,"3B",34,-0.02,1,-0.01,-0.02,0.98,-0.03,0.98,-0.03
"145","Jake Folmar",0.19,"2B",27,-0.32,-0.24,0,0.75,-0.56,0.75,0.51,-0.32
"146","Jake Folmar",-0.06,"3B",12,0,0,0,-0.06,0,-0.06,-0.06,0
"147","Jake Folmar",0.24,"LF",22,-0.81,1.05,0,0,0.24,0,1.05,-0.81
"148","Jake Folmar",-0.29,"SS",18,0,-0.02,0,-0.28,-0.02,-0.28,-0.3,0
"149","Jake Parpet",-0.95,"LF",13,-0.64,0.14,-0.45,0,-0.5,-0.45,0.14,-1.09
"150","Jake Parpet",0.48,"RF",6,0.59,-0.22,0,0.11,0.37,0.11,-0.11,0.59
"151","Jake Parpet",0,NA,10,0,0,0,0,0,0,0,0
"152","Jake Zimmerman",-0.15,"1B",13,0,0,-0.15,0,0,-0.15,0,-0.15
"153","Jake Zimmerman",0,NA,28,0,0,0,0,0,0,0,0
"154","Jaxson Grubbs",-0.64,"1B",44,-0.14,0,-0.48,-0.03,-0.14,-0.51,-0.03,-0.62
"155","Josh Eisfelder",0,"1B",8,0,0,0,0,0,0,0,0
"156","Josh Eisfelder",-0.02,"3B",4,0,-0.02,0,0,-0.02,0,-0.02,0
"157","Josh Eisfelder",-0.14,"RF",8,0,-0.03,0,-0.11,-0.03,-0.11,-0.14,0
"158","Josh Eisfelder",0,NA,22,0,0,0,0,0,0,0,0
"159","Kaden Griswold",0.09,"CF",1,0,0.09,0,0,0.09,0,0.09,0
"160","Kaden Griswold",-0.32,"LF",10,-0.2,-0.03,-0.09,0,-0.23,-0.09,-0.03,-0.29
"161","Kaden Griswold",-0.27,"RF",39,-0.38,0.59,-0.39,-0.09,0.21,-0.48,0.5,-0.77
"162","Kaiden Maurer",1.92,"SS",48,0,0.18,0.63,1.12,0.18,1.75,1.3,0.63
"163","Kaileb Hackman",-0.03,"3B",14,0,0,0,-0.03,0,-0.03,-0.03,0
"164","Kaileb Hackman",0.01,"CF",10,0.01,0,0,0,0.01,0,0,0.01
"165","Kaileb Hackman",-0.19,"LF",26,-0.04,-0.25,-0.31,0.42,-0.29,0.11,0.17,-0.35
"166","Kam Ross",0.34,"CF",6,0,0.34,0,0,0.34,0,0.34,0
