Batter,PitchType,#,%,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff %,Put Away %
Kaileb Hackman,Fastball,72,61.5,11,9,1,0,1,4,17,0.524,0.347,0.714,0.418,0.417,0.41,81.95,21.39,9.72,21
Kaileb Hackman,Breaking,32,27.4,5,3,1,0,1,1,6,0.714,0.426,1.286,0.482,0.177,0.398,79.54,16.03,9.38,14
Kaileb Hackman,Offspeed,13,11.1,2,2,0,0,0,0,3,0.667,0.439,0.667,0.55,0.052,0.426,85.59,9.74,0.0,0
Nick Guidici,Fastball,131,72.8,10,5,3,1,1,5,21,0.385,0.26,0.692,0.316,0.367,0.317,83.9,15.53,8.4,17
Nick Guidici,Offspeed,20,11.1,1,1,0,0,0,2,3,0.2,0.0,0.2,0.0,0.036,0.232,,,15.0,29
Nick Guidici,Breaking,29,16.1,3,2,1,0,0,2,5,0.429,0.219,0.571,0.369,0.086,0.345,86.71,25.76,10.34,13
Cody Delfavero,Offspeed,11,7.8,1,1,0,0,0,0,3,0.333,0.125,0.333,0.151,0.023,0.121,80.02,41.77,0.0,0
Cody Delfavero,Fastball,94,66.7,6,4,1,0,1,5,15,0.286,0.227,0.476,0.313,0.274,0.327,88.11,20.32,8.51,24
Cody Delfavero,Breaking,36,25.5,2,2,0,0,0,1,7,0.25,0.275,0.25,0.314,0.083,0.404,80.54,21.68,8.33,10
Colin Karr,Fastball,116,68.2,6,5,0,0,1,4,14,0.333,0.214,0.5,0.232,0.329,0.394,82.07,30.03,10.34,15
Colin Karr,Offspeed,14,8.2,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.018,0.348,,,7.14,33
Colin Karr,Breaking,40,23.5,0,0,0,0,0,2,5,0.0,0.198,0.0,0.179,0.053,0.431,69.89,42.74,2.5,14
Jake Zimmerman,Fastball,53,64.6,2,2,0,0,0,1,10,0.182,0.279,0.182,0.31,0.085,0.303,69.86,16.64,9.43,11
Jake Zimmerman,Offspeed,5,6.1,1,1,0,0,0,0,2,0.5,0.503,0.5,0.598,0.076,0.589,88.12,5.52,0.0,0
Jake Zimmerman,Breaking,24,29.3,3,3,0,0,0,1,6,0.429,0.297,0.429,0.33,0.127,0.346,79.05,5.55,12.5,12
Luke Gallet,Fastball,31,73.8,0,0,0,0,0,3,5,0.0,0.065,0.0,0.115,0.058,0.164,79.2,38.9,22.58,100
Luke Gallet,Breaking,8,19.0,0,0,0,0,0,0,2,0.0,0.384,0.0,0.499,0.0,0.375,69.51,17.81,0.0,0
Luke Gallet,Offspeed,3,7.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,66.67,50
Braden Alexander,Fastball,3,100.0,0,0,0,0,0,0,1,0.0,0.209,0.0,0.245,0.0,0.197,82.43,-11.71,33.33,NaN
Jake Folmar,Fastball,104,70.7,2,2,0,0,0,5,14,0.1,0.21,0.1,0.24,0.211,0.349,73.27,20.75,3.85,21
Jake Folmar,Offspeed,15,10.2,0,0,0,0,0,1,2,0.0,0.194,0.0,0.278,0.041,0.453,67.99,50.84,6.67,33
Jake Folmar,Breaking,28,19.0,2,2,0,0,0,1,4,0.5,0.261,0.5,0.306,0.051,0.242,72.66,42.17,7.14,20
Zayn Giles,Fastball,77,68.8,4,4,0,0,0,2,12,0.286,0.248,0.286,0.313,0.235,0.427,75.81,5.35,11.69,12
Zayn Giles,Breaking,31,27.7,1,1,0,0,0,2,2,0.25,0.243,0.25,0.293,0.096,0.424,71.1,-30.76,9.68,17
Zayn Giles,Offspeed,4,3.6,1,1,0,0,0,0,2,0.5,0.333,0.5,0.403,0.037,0.322,81.19,2.88,0.0,0
Ryan Theile,Fastball,41,63.1,3,3,0,0,0,0,8,0.429,0.328,0.429,0.388,0.264,0.53,80.59,20.31,0.0,0
Ryan Theile,Breaking,20,30.8,2,2,0,0,0,0,4,0.5,0.38,0.5,0.453,0.178,0.483,86.34,7.76,5.0,0
Ryan Theile,Offspeed,4,6.2,0,0,0,0,0,0,2,0.0,0.352,0.0,0.341,0.0,0.312,89.14,10.62,0.0,NaN
Nolan Galla,Offspeed,5,6.6,0,0,0,0,0,0,0,0.0,,0.0,,0.039,0.695,38.69,-20.02,0.0,0
Nolan Galla,Fastball,54,71.1,1,1,0,0,0,1,10,0.091,0.236,0.091,0.252,0.206,0.349,77.73,13.44,5.56,7
Nolan Galla,Breaking,17,22.4,1,0,1,0,0,0,3,0.333,0.374,0.667,0.436,0.07,0.358,81.76,-0.94,0.0,0
