PlayResult,TaggedHitType,ExitSpeed,Angle,xSLG
1,GroundBall,111.189,4.785356,0.9888365268707275
4,FlyBall,106.58885,25.937432,4.028897762298584
0,LineDrive,67.44384,15.965868,0.02287793904542923
0,FlyBall,79.70295,46.972541,-0.01056604366749525
0,LineDrive,85.92755,11.806869,0.06931285560131073
1,LineDrive,87.14355,16.464817,0.9620774984359741
1,LineDrive,90.91595,15.671829,0.9613885283470154
1,GroundBall,71.63179,-68.641703,0.8977847695350647
4,FlyBall,103.36129,22.44748,3.991607189178467
0,FlyBall,93.93547,27.27767,0.06785625964403152
1,GroundBall,84.23239,-60.443279,0.9456605315208435
1,LineDrive,107.85477,13.050697,0.9974730610847473
4,FlyBall,109.30589,21.594892,3.9969613552093506
2,LineDrive,97.8967,5.883448,1.9857078790664673
2,FlyBall,96.63176,20.99675,0.2283107340335846
0,FlyBall,93.95024,47.95774,-0.0015834593214094639
0,FlyBall,85.03979,39.817487,0.003713524667546153
1,Popup,77.96461,63.300724,0.014958800747990608
0,Popup,84.0361,64.765879,6.669801950920373e-05
0,Popup,91.77945,69.986915,0.00017920511891134083
2,FlyBall,101.57174,31.282045,1.992140769958496
1,GroundBall,92.44547,-16.68371,0.876937210559845
0,LineDrive,68.45574,18.281113,0.06487564742565155
1,LineDrive,106.7675,6.7295,0.9878324270248413
0,FlyBall,79.44071,28.156441,0.0021544434130191803
1,GroundBall,89.19115,5.323615,1.1067564487457275
0,GroundBall,86.4684,-1.276705,0.07376054674386978
2,LineDrive,100.34213,14.156448,1.9812958240509033
2,Popup,72.63689,34.589177,1.9965616464614868
2,LineDrive,95.41334,9.941251,1.9142634868621826
4,FlyBall,97.88233,30.430753,2.6245672702789307
0,Bunt,28.5749,-8.988002,
2,FlyBall,95.75501,22.702648,1.9529091119766235
0,GroundBall,97.33118,-3.207754,0.013781731016933918
2,GroundBall,95.57488,-29.758197,1.8615044355392456
0,FlyBall,88.86669,38.882792,0.019879600033164024
0,FlyBall,107.20299,39.390475,-0.01818968541920185
0,GroundBall,85.24094,-18.306498,0.09333669394254684
0,FlyBall,98.24165,27.053074,0.008870347402989864
1,LineDrive,97.8851,14.981331,1.013627052307129
1,Popup,75.87831,37.549474,1.0001870393753052
0,GroundBall,74.96488,-46.645336,-0.010475280694663525
2,LineDrive,92.35257,16.839115,0.9540796279907227
1,GroundBall,97.68239,-12.060669,0.9084953665733337
0,GroundBall,76.61952,-7.554159,0.03622791916131973
1,Popup,74.16711,25.310876,0.999836802482605
4,FlyBall,90.69157,29.510298,0.022444266825914383
1,LineDrive,104.54146,9.396025,1.0088906288146973
0,GroundBall,85.61131,-6.661768,0.044148001819849014
0,Popup,85.98546,58.249002,6.669801950920373e-05
0,GroundBall,108.50412,-23.552244,0.009656718000769615
0,GroundBall,92.28207,-8.071332,0.010089234448969364
2,LineDrive,99.74794,6.951468,1.988671898841858
0,GroundBall,117.55773,-40.202963,-0.13485287129878998
2,GroundBall,67.47922,-34.59958,1.7820624113082886
0,GroundBall,82.85455,-61.461134,-0.021385708823800087
1,LineDrive,92.50861,14.775535,1.0149739980697632
